,ASN,CustomerName,CustomerNumber,CustomerSpecific,CustomerType,Ip Address,Number of IpAddress,Order Number,Product Type,ProductClass,RD,RT EXPORT,RT IMPORT,Remark,Sequence Number,ShipToAddress,Status,Subnet Mask,Subnet Type,VRF Name,missingReason,normalizedAccountJoinKey,normalizedServiceJoinKey
,0,Arab investment company,18427,,CORP,87.101.234.0,4,1057176,BBI,,,,,,2,"King abdulaziz Ro. 4009,Central,Riyadh",Reserved,255.255.255.252,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=1057176 and CustomerNumber->ACCOUNT_NUMBER=18427.,18427,1057176
,0,ETECHS Co,23301,,CORP,87.101.234.112,8,10606111,BBI,,,,,,2,"Judah, Al Wurud, Riyadh 12254 8184) 8184,Central,Riyadh",Reserved,255.255.255.248,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=10606111 and CustomerNumber->ACCOUNT_NUMBER=23301.,23301,10606111
,0,Dream Net,28267,,CORP,87.101.235.200,8,10675371,BBI,,,,,,1,"Tasheel 01 .,Western,Jeddah",Reserved,255.255.255.248,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=10675371 and CustomerNumber->ACCOUNT_NUMBER=28267.,28267,10675371
,0,Tejoury,35321,,CORP,87.101.234.8,4,10751691,BBI,,,,,,2,"Tejory JED || 21.513172 39.169147 .,Western,Jeddah",Reserved,255.255.255.252,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=10751691 and CustomerNumber->ACCOUNT_NUMBER=35321.,35321,10751691
,0,UNITED YOUSEF M. NAGHI CO.LTD,40074,,CORP,87.101.234.136,8,10752811,BBI,,,,,,2,"H.Q -,Western,Jeddah",Reserved,255.255.255.248,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=10752811 and CustomerNumber->ACCOUNT_NUMBER=40074.,40074,10752811
,0,UNITED YOUSEF M. NAGHI CO.LTD,40074,,CORP,87.101.235.168,8,10752811,BBI,,,,,,1,"H.Q -,Western,Jeddah",Reserved,255.255.255.248,LAN2,,No Siebel row found. Tried Order Number->SERIAL_NUM=10752811 and CustomerNumber->ACCOUNT_NUMBER=40074.,40074,10752811
,0,United Ink Production Co Ltd,40506,,CORP,87.101.235.140,4,10758551,BBI,,,,,,1,"Industrial Area .,Western,Jeddah",Reserved,255.255.255.252,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=10758551 and CustomerNumber->ACCOUNT_NUMBER=40506.,40506,10758551
,0,BMB International Saudi Arabia,40778,,CORP,87.101.234.204,4,10761951,BBI,,,,,,2,"Imam Soud Bin Abdulaziz Road 0,Central,Riyadh",Reserved,255.255.255.252,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=10761951 and CustomerNumber->ACCOUNT_NUMBER=40778.,40778,10761951
,0,IBIS HOTEL (Al Mohamadia Al-Motahda Co.),22030,,CORP,87.101.151.192,16,10768951,BBI,,,,,Additional Or#10768952,3,"IBIS HOTEL - (46.67647?  24.71203) Riyadh 62337,Central,Riyadh",Reserved,255.255.255.240,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=10768951 and CustomerNumber->ACCOUNT_NUMBER=22030.,22030,10768951
,0,Double Tree By Hilton-Murooj,31970,,CORP,46.38.73.0,16,10777792,BBI,,,,,,4,"DOUBLETREE BY HILTON  Al Mooroj 4933,Central,Riyadh",Reserved,255.255.255.240,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=10777792 and CustomerNumber->ACCOUNT_NUMBER=31970.,31970,10777792
"['Jeddah""', '']",0,Dream Net,28267,,CORP,46.38.73.24,8,10778111,BBI,,,,,Western,4,"DN | OFC JED Site 21?30'6.28""N",Reserved,255.255.255.248,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=10778111 and CustomerNumber->ACCOUNT_NUMBER=28267.,28267,10778111
,0,DOUBLETREE BY HILTON-Dhahran,30403,,CORP,46.38.73.64,16,10778202,BBI,,,,,,4,"AlQashlah St ,Dhahran 4933,Eastern,Dhahran",Reserved,255.255.255.240,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=10778202 and CustomerNumber->ACCOUNT_NUMBER=30403.,30403,10778202
,0,Hilton Garden Inn,35825,,CORP,46.38.73.96,16,10778212,BBI,,,,,,4,"Olaya 45234,Central,Riyadh",Reserved,255.255.255.240,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=10778212 and CustomerNumber->ACCOUNT_NUMBER=35825.,35825,10778212
,0,NOVOTEL SUITES RIYADH DYAR,31862,,CORP,46.38.73.112,16,10780763,BBI,,,,,,4,"Novotel Riyadh Al Anoud(Dyar) - Olyah St 11234,Central,Riyadh",Reserved,255.255.255.240,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=10780763 and CustomerNumber->ACCOUNT_NUMBER=31862.,31862,10780763
,0,Dream Net,28267,,CORP,46.38.73.152,8,10781251,BBI,,,,,,4,"DN | OFC Madina Site 24.395280,Western,Medina",Reserved,255.255.255.248,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=10781251 and CustomerNumber->ACCOUNT_NUMBER=28267.,28267,10781251
,0,Madinah Hilton,41833,,CORP,46.38.73.128,16,10782122,BBI,,,,,,4,"Madinah Hiltom 223454,Western,Medina",Reserved,255.255.255.240,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=10782122 and CustomerNumber->ACCOUNT_NUMBER=41833.,41833,10782122
,0,Hilton Garden Inn Tabuk,32454,,CORP,87.101.151.224,16,10784032,BBI,,,,,,3,"HILTON GARDEN INN (Tabuk) 11232,Northern,Tabuk",Reserved,255.255.255.240,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=10784032 and CustomerNumber->ACCOUNT_NUMBER=32454.,32454,10784032
,0,California #  Unit : 2606,45371,,CORP,87.101.235.96,4,10811071,BBI,,,,,,1,"California  Comp #  Unit : 2606 00,Central,Riyadh",Reserved,255.255.255.252,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=10811071 and CustomerNumber->ACCOUNT_NUMBER=45371.,45371,10811071
,0,Hilton Garden Inn Al Jubail,52920,,CORP,87.101.235.64,8,10888881,BBI,,,,,,1,"Hilton Garden Inn Al Jubail 2134,Eastern,Al Jubail",Reserved,255.255.255.248,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=10888881 and CustomerNumber->ACCOUNT_NUMBER=52920.,52920,10888881
"['Jeddah""', '']",0,Ibis- Adagio,48354,,CORP,46.38.73.192,16,10896654,BBI,,,,,Western,4,"Malik Road 21 36'10.7""N 39 07'18.1""""E",Reserved,255.255.255.240,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=10896654 and CustomerNumber->ACCOUNT_NUMBER=48354.,48354,10896654
,0,Arab Company for pharmaceutical,52206,,CORP,87.101.235.104,8,10897103,BBI,,,,,,1,"Riyadh Rasafy street -,Central,Riyadh",Reserved,255.255.255.248,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=10897103 and CustomerNumber->ACCOUNT_NUMBER=52206.,52206,10897103
,0,Arab Company for pharmaceutical,52206,,CORP,87.101.235.36,4,10897105,BBI,,,,,,1,"Jed Hamzah Shehata street -,Western,Jeddah",Reserved,255.255.255.252,LAN1,,No Siebel row found. Tried Order Number->SERIAL_NUM=10897105 and CustomerNumber->ACCOUNT_NUMBER=52206.,52206,10897105
